選舉類型,候選人數量
[鄉鎮市民代表]彰化縣田中鎮第1選舉區,5
[鄉鎮市民代表]彰化縣田中鎮第2選舉區,8
[鄉鎮市民代表]彰化縣田中鎮第3選舉區,6
[鄉鎮市民代表]彰化縣大村鄉第1選舉區,7
[鄉鎮市民代表]彰化縣大村鄉第2選舉區,2
[鄉鎮市民代表]彰化縣大村鄉第3選舉區,3
[鄉鎮市民代表]彰化縣大村鄉第4選舉區,6
[鄉鎮市民代表]彰化縣埔鹽鄉第1選舉區,6
[鄉鎮市民代表]彰化縣埔鹽鄉第2選舉區,10
[鄉鎮市民代表]彰化縣埔鹽鄉第3選舉區,5
[鄉鎮市民代表]彰化縣埔心鄉第1選舉區,13
[鄉鎮市民代表]彰化縣埔心鄉第2選舉區,5
[鄉鎮市民代表]彰化縣埔心鄉第3選舉區,2
[鄉鎮市民代表]彰化縣永靖鄉第1選舉區,9
[鄉鎮市民代表]彰化縣永靖鄉第2選舉區,7
[鄉鎮市民代表]彰化縣永靖鄉第3選舉區,5
[鄉鎮市民代表]彰化縣社頭鄉第1選舉區,10
[鄉鎮市民代表]彰化縣社頭鄉第2選舉區,2
[鄉鎮市民代表]彰化縣社頭鄉第3選舉區,1
[鄉鎮市民代表]彰化縣社頭鄉第4選舉區,4
[鄉鎮市民代表]彰化縣二水鄉第1選舉區,5
[鄉鎮市民代表]彰化縣二水鄉第2選舉區,11
[鄉鎮市民代表]彰化縣二水鄉第3選舉區,5
[鄉鎮市民代表]彰化縣北斗鎮第1選舉區,6
[鄉鎮市民代表]彰化縣北斗鎮第2選舉區,7
[鄉鎮市民代表]彰化縣北斗鎮第3選舉區,8
[鄉鎮市民代表]彰化縣北斗鎮第4選舉區,4
[鄉鎮市民代表]彰化縣二林鎮第1選舉區,5
[鄉鎮市民代表]彰化縣二林鎮第2選舉區,5
[鄉鎮市民代表]彰化縣二林鎮第3選舉區,5
[鄉鎮市民代表]彰化縣二林鎮第4選舉區,2
[鄉鎮市民代表]彰化縣田尾鄉第1選舉區,7
[鄉鎮市民代表]彰化縣田尾鄉第2選舉區,4
[鄉鎮市民代表]彰化縣田尾鄉第3選舉區,2
[鄉鎮市民代表]彰化縣田尾鄉第4選舉區,4
[鄉鎮市民代表]彰化縣埤頭鄉第1選舉區,4
[鄉鎮市民代表]彰化縣埤頭鄉第2選舉區,8
[鄉鎮市民代表]彰化縣埤頭鄉第3選舉區,2
[鄉鎮市民代表]彰化縣埤頭鄉第4選舉區,2
[鄉鎮市民代表]彰化縣芳苑鄉第1選舉區,3
[鄉鎮市民代表]彰化縣芳苑鄉第2選舉區,2
[鄉鎮市民代表]彰化縣芳苑鄉第3選舉區,4
[鄉鎮市民代表]彰化縣芳苑鄉第4選舉區,5
[鄉鎮市民代表]彰化縣大城鄉第1選舉區,3
[鄉鎮市民代表]彰化縣大城鄉第2選舉區,5
[鄉鎮市民代表]彰化縣大城鄉第3選舉區,3
