政黨,選舉類型,選舉區,姓名
無,村里長,彰化縣花壇鄉文德村,林石勇
無,村里長,彰化縣花壇鄉文德村,林凱意
無,村里長,彰化縣花壇鄉白沙村,廖金彰
無,村里長,彰化縣花壇鄉白沙村,黃昭溢
無,村里長,彰化縣花壇鄉岩竹村,林天潤
無,村里長,彰化縣花壇鄉岩竹村,呂進吉
無,村里長,彰化縣花壇鄉岩竹村,游雅棉
無,村里長,彰化縣花壇鄉橋頭村,謝佩蓉
無,村里長,彰化縣花壇鄉橋頭村,許智文
無,村里長,彰化縣花壇鄉橋頭村,林永青
無,村里長,彰化縣花壇鄉橋頭村,黃清發
無,村里長,彰化縣花壇鄉橋頭村,李長勝
無,村里長,彰化縣花壇鄉灣雅村,梁橋村
無,村里長,彰化縣花壇鄉灣雅村,蔡光輝
無,村里長,彰化縣花壇鄉灣東村,許松柏
無,村里長,彰化縣花壇鄉灣東村,李金榮
無,村里長,彰化縣花壇鄉三春村,李明松
無,村里長,彰化縣花壇鄉三春村,李張寶珠
無,村里長,彰化縣花壇鄉三春村,顧建興
無,村里長,彰化縣花壇鄉永春村,陳三弘
無,村里長,彰化縣花壇鄉長春村,林松貴
無,村里長,彰化縣花壇鄉長春村,顧國楨
無,村里長,彰化縣芬園鄉舊社村,蔡勝堅
無,村里長,彰化縣芬園鄉大埔村,張凰鳳
無,村里長,彰化縣芬園鄉竹林村,張文哲
無,村里長,彰化縣芬園鄉竹林村,張明金
無,村里長,彰化縣芬園鄉社口村,李卷元
無,村里長,彰化縣芬園鄉茄荖村,洪坤周
無,村里長,彰化縣芬園鄉茄荖村,簡慶強
無,村里長,彰化縣芬園鄉嘉興村,劉姿均
無,村里長,彰化縣芬園鄉嘉興村,李進源
無,村里長,彰化縣芬園鄉嘉興村,張玉英
無,村里長,彰化縣芬園鄉芬園村,劉耿輝
無,村里長,彰化縣芬園鄉芬園村,陳素珍
無,村里長,彰化縣芬園鄉縣庄村,褚忠進
無,村里長,彰化縣芬園鄉縣庄村,謝志裕
無,村里長,彰化縣芬園鄉圳墘村,陳煌濱
無,村里長,彰化縣芬園鄉圳墘村,白東發
無,村里長,彰化縣芬園鄉溪頭村,莊定山
無,村里長,彰化縣芬園鄉進芬村,蔡敏光
無,村里長,彰化縣芬園鄉進芬村,賴國華
無,村里長,彰化縣芬園鄉同安村,林子瓏
無,村里長,彰化縣芬園鄉同安村,許新志
無,村里長,彰化縣芬園鄉同安村,蔡佩軒
無,村里長,彰化縣芬園鄉同安村,林蔡秀英
無,村里長,彰化縣芬園鄉中崙村,許炯業
無,村里長,彰化縣芬園鄉中崙村,蘇子秦
無,村里長,彰化縣芬園鄉大竹村,江山城
無,村里長,彰化縣芬園鄉大竹村,許永崧
無,村里長,彰化縣芬園鄉楓坑村,張國芳
無,村里長,彰化縣芬園鄉楓坑村,李健炎
無,村里長,彰化縣員林市東和里,黃憲章
無,村里長,彰化縣員林市東和里,劉淑靜
無,村里長,彰化縣員林市民生里,劉燿彰
無,村里長,彰化縣員林市民生里,黃國楨
無,村里長,彰化縣員林市中正里,張仁源
無,村里長,彰化縣員林市中正里,陳進發
無,村里長,彰化縣員林市仁美里,黃秀雅
無,村里長,彰化縣員林市新興里,石振傑
無,村里長,彰化縣員林市新興里,張厚穰
無,村里長,彰化縣員林市和平里,賴憲茂
無,村里長,彰化縣員林市光明里,余鍵治
無,村里長,彰化縣員林市光明里,蕭淑娟
無,村里長,彰化縣員林市中山里,楊鳳塔
無,村里長,彰化縣員林市黎明里,謝宜芳
無,村里長,彰化縣員林市黎明里,劉松濱
無,村里長,彰化縣員林市惠來里,張榮昇
無,村里長,彰化縣員林市惠來里,陳敏聰
無,村里長,彰化縣員林市惠來里,游朝元
無,村里長,彰化縣員林市惠來里,陳毅光
無,村里長,彰化縣員林市三義里,許文樟
無,村里長,彰化縣員林市新生里,謝仁宏殷
無,村里長,彰化縣員林市新生里,巫吉清
無,村里長,彰化縣員林市南平里,吳國勝
無,村里長,彰化縣員林市南平里,鄭福全
無,村里長,彰化縣員林市源潭里,陳忠和
無,村里長,彰化縣員林市大埔里,游庭訓
無,村里長,彰化縣員林市三條里,江金耀
無,村里長,彰化縣員林市三條里,張尚裕
無,村里長,彰化縣員林市三和里,黃德勝
無,村里長,彰化縣員林市三和里,吳權勝
無,村里長,彰化縣員林市三橋里,賴耀區
無,村里長,彰化縣員林市三橋里,賴余阿月
無,村里長,彰化縣員林市三橋里,汪益生
無,村里長,彰化縣員林市中央里,鐘政義
無,村里長,彰化縣員林市溝皂里,張衍澧
無,村里長,彰化縣員林市溝皂里,趙世明
無,村里長,彰化縣員林市大饒里,張瑞正
無,村里長,彰化縣員林市大饒里,張明勤
無,村里長,彰化縣員林市大明里,盧淑柔
無,村里長,彰化縣員林市大明里,潘政芳
無,村里長,彰化縣員林市萬年里,張全
無,村里長,彰化縣員林市崙雅里,張永秀
無,村里長,彰化縣員林市崙雅里,張永鑫
無,村里長,彰化縣員林市振興里,謝堂權
無,村里長,彰化縣員林市林厝里,蕭富子
無,村里長,彰化縣員林市出水里,楊進村
無,村里長,彰化縣員林市出水里,邱式麟
無,村里長,彰化縣員林市湖水里,張原猶
無,村里長,彰化縣員林市湖水里,黃欽玉
無,村里長,彰化縣員林市大峯里,江秀雪
無,村里長,彰化縣員林市大峯里,江茂達
無,村里長,彰化縣員林市鎮興里,黃錦昌
無,村里長,彰化縣員林市浮圳里,江玉堅
無,村里長,彰化縣員林市浮圳里,江慶音
無,村里長,彰化縣員林市西東里,黃耀武
無,村里長,彰化縣員林市西東里,盧盈安
無,村里長,彰化縣員林市南東里,黃家富
無,村里長,彰化縣員林市南東里,黃俊黨
無,村里長,彰化縣員林市中東里,曹炎權
無,村里長,彰化縣員林市中東里,曹杉
無,村里長,彰化縣員林市東北里,古志信
無,村里長,彰化縣員林市東北里,曹震西
無,村里長,彰化縣員林市三愛里,卓金龍
無,村里長,彰化縣員林市三愛里,黃雅惠
無,村里長,彰化縣員林市三多里,莊騏聿
無,村里長,彰化縣員林市三多里,黃再瑞
無,村里長,彰化縣員林市三多里,劉惠美
無,村里長,彰化縣員林市仁愛里,陳楊秀錦
無,村里長,彰化縣員林市忠孝里,洪光旭
無,村里長,彰化縣溪湖鎮光平里,楊林玉春
無,村里長,彰化縣溪湖鎮平和里,鄭篤喜
無,村里長,彰化縣溪湖鎮太平里,陳重存
無,村里長,彰化縣溪湖鎮光華里,陳雅慧
無,村里長,彰化縣溪湖鎮光華里,楊耀木
無,村里長,彰化縣溪湖鎮光華里,王永和
無,村里長,彰化縣溪湖鎮東寮里,巫智成
無,村里長,彰化縣溪湖鎮東寮里,巫芷潁
無,村里長,彰化縣溪湖鎮西寮里,巫政雄
無,村里長,彰化縣溪湖鎮西寮里,王憲雄
無,村里長,彰化縣溪湖鎮西寮里,巫文曲
無,村里長,彰化縣溪湖鎮西寮里,巫典源
無,村里長,彰化縣溪湖鎮大突里,鄭復源
無,村里長,彰化縣溪湖鎮大突里,謝章啟
無,村里長,彰化縣溪湖鎮北勢里,楊添發
無,村里長,彰化縣溪湖鎮汴頭里,楊登棠
無,村里長,彰化縣溪湖鎮大竹里,何炳樺
無,村里長,彰化縣溪湖鎮湖西里,楊明瞭
無,村里長,彰化縣溪湖鎮湖西里,楊文彬
無,村里長,彰化縣溪湖鎮田中里,楊永燦
無,村里長,彰化縣溪湖鎮田中里,楊松柏
無,村里長,彰化縣溪湖鎮河東里,楊哲夫
無,村里長,彰化縣溪湖鎮河東里,吳明聰
無,村里長,彰化縣溪湖鎮河東里,黃國男
無,村里長,彰化縣溪湖鎮河東里,楊長嶪
無,村里長,彰化縣溪湖鎮中山里,楊平國
無,村里長,彰化縣溪湖鎮中山里,陳思遠
無,村里長,彰化縣溪湖鎮中山里,楊儒章
無,村里長,彰化縣溪湖鎮中竹里,黃柏勳
無,村里長,彰化縣溪湖鎮中竹里,李文男
無,村里長,彰化縣溪湖鎮東溪里,陳添富
無,村里長,彰化縣溪湖鎮東溪里,陳柏鑫
無,村里長,彰化縣溪湖鎮西溪里,洪秀鳳
無,村里長,彰化縣溪湖鎮湖東里,洪金富
無,村里長,彰化縣溪湖鎮湖東里,陳芬妮
無,村里長,彰化縣溪湖鎮湖東里,洪錫松
無,村里長,彰化縣溪湖鎮頂庄里,黃劉彩梅
無,村里長,彰化縣溪湖鎮頂庄里,黃文曲
無,村里長,彰化縣溪湖鎮忠覺里,周哲郎
無,村里長,彰化縣溪湖鎮忠覺里,吳錫祥
無,村里長,彰化縣溪湖鎮湳底里,陳聰德
無,村里長,彰化縣溪湖鎮湳底里,陳嘉慶
無,村里長,彰化縣溪湖鎮湳底里,陳秋波
無,村里長,彰化縣溪湖鎮大庭里,許天寶
無,村里長,彰化縣溪湖鎮媽厝里,王錦浪
無,村里長,彰化縣溪湖鎮媽厝里,陳瑞勳
無,村里長,彰化縣溪湖鎮西勢里,蔡福助
無,村里長,彰化縣溪湖鎮番婆里,謝鴻模
無,村里長,彰化縣溪湖鎮番婆里,陳盛隆
無,村里長,彰化縣田中鎮香山里,陳義男
無,村里長,彰化縣田中鎮香山里,周嬋娟
無,村里長,彰化縣田中鎮碧峰里,蕭文忠
無,村里長,彰化縣田中鎮復興里,游文義
無,村里長,彰化縣田中鎮復興里,陳仁勇
無,村里長,彰化縣田中鎮平和里,陳深淵
無,村里長,彰化縣田中鎮頂潭里,蕭萬福
無,村里長,彰化縣田中鎮頂潭里,蕭鈺霖
無,村里長,彰化縣田中鎮中潭里,賴世賢
無,村里長,彰化縣田中鎮中潭里,葉淑玲
無,村里長,彰化縣田中鎮中潭里,紀崑棟
無,村里長,彰化縣田中鎮龍潭里,蕭光志
無,村里長,彰化縣田中鎮龍潭里,曹惠川
無,村里長,彰化縣田中鎮北路里,陳敏
無,村里長,彰化縣田中鎮北路里,許文濱
無,村里長,彰化縣田中鎮西路里,劉豪龍
無,村里長,彰化縣田中鎮西路里,蕭嘉恩
無,村里長,彰化縣田中鎮西路里,許文財
無,村里長,彰化縣田中鎮西路里,謝富亙
無,村里長,彰化縣田中鎮東路里,簡雲龍
無,村里長,彰化縣田中鎮東路里,錢政照
無,村里長,彰化縣田中鎮南路里,吳岳霖
無,村里長,彰化縣田中鎮南路里,許義東
無,村里長,彰化縣田中鎮中路里,陳月嬌
無,村里長,彰化縣田中鎮新庄里,謝樹文
無,村里長,彰化縣田中鎮新庄里,應昌儒
無,村里長,彰化縣田中鎮新庄里,許瓏議
無,村里長,彰化縣田中鎮三安里,卓建璋
無,村里長,彰化縣田中鎮三安里,林漢龍
無,村里長,彰化縣田中鎮大崙里,卓淑娟
無,村里長,彰化縣田中鎮沙崙里,謝英其
無,村里長,彰化縣田中鎮新民里,梁正賢
無,村里長,彰化縣田中鎮梅州里,莊舜麟
無,村里長,彰化縣田中鎮梅州里,蘇正杉
無,村里長,彰化縣田中鎮三民里,鄭金賜
無,村里長,彰化縣田中鎮三光里,陳英詔
無,村里長,彰化縣田中鎮三光里,邱垂鏞
無,村里長,彰化縣田中鎮大社里,陳建市
無,村里長,彰化縣大村鄉大村村,賴錫應
無,村里長,彰化縣大村鄉茄苳村,吳重吉
無,村里長,彰化縣大村鄉茄苳村,吳國村
無,村里長,彰化縣大村鄉南勢村,黃玉河
無,村里長,彰化縣大村鄉南勢村,賴朝榕
無,村里長,彰化縣大村鄉田洋村,郭海桐
無,村里長,彰化縣大村鄉田洋村,劉楨權
無,村里長,彰化縣大村鄉田洋村,賴建鄉
無,村里長,彰化縣大村鄉新興村,黃世昌
無,村里長,彰化縣大村鄉新興村,蘇慶成
無,村里長,彰化縣大村鄉過溝村,賴保全
無,村里長,彰化縣大村鄉美港村,賴勝集
無,村里長,彰化縣大村鄉美港村,賴福財
無,村里長,彰化縣大村鄉平和村,賴居林
無,村里長,彰化縣大村鄉貢旗村,賴漢斌
無,村里長,彰化縣大村鄉加錫村,王振輝
無,村里長,彰化縣大村鄉村上村,賴順從
無,村里長,彰化縣大村鄉村上村,賴火球
無,村里長,彰化縣大村鄉大崙村,陳鑫池
無,村里長,彰化縣大村鄉擺塘村,游泳舜
無,村里長,彰化縣大村鄉擺塘村,黃冠穎
無,村里長,彰化縣大村鄉黃厝村,黃朝啓
無,村里長,彰化縣大村鄉福興村,汪耀庭
無,村里長,彰化縣大村鄉福興村,汪榮明
無,村里長,彰化縣埔鹽鄉埔鹽村,施瑞權
無,村里長,彰化縣埔鹽鄉埔南村,陳榮昭
無,村里長,彰化縣埔鹽鄉埔南村,鄞宏茂
無,村里長,彰化縣埔鹽鄉廍子村,施來平
無,村里長,彰化縣埔鹽鄉出水村,陳秋城
無,村里長,彰化縣埔鹽鄉南港村,林啓崇
無,村里長,彰化縣埔鹽鄉南港村,鄭崇鑑
無,村里長,彰化縣埔鹽鄉打廉村,陳育勝
無,村里長,彰化縣埔鹽鄉打廉村,陳火旺
無,村里長,彰化縣埔鹽鄉豐澤村,陳樹旺
無,村里長,彰化縣埔鹽鄉豐澤村,林振榮
無,村里長,彰化縣埔鹽鄉豐澤村,陳義銘
無,村里長,彰化縣埔鹽鄉崑崙村,蔡志尚
無,村里長,彰化縣埔鹽鄉崑崙村,蔡志錦
無,村里長,彰化縣埔鹽鄉角樹村,陳慶郎
無,村里長,彰化縣埔鹽鄉角樹村,楊源豊
無,村里長,彰化縣埔鹽鄉角樹村,陳添樹
無,村里長,彰化縣埔鹽鄉瓦磘村,施易昌
無,村里長,彰化縣埔鹽鄉瓦磘村,施錫銘
無,村里長,彰化縣埔鹽鄉好修村,黃世仁
無,村里長,彰化縣埔鹽鄉好修村,施勳河
無,村里長,彰化縣埔鹽鄉西湖村,陳俊忠
無,村里長,彰化縣埔鹽鄉西湖村,李宗喜
無,村里長,彰化縣埔鹽鄉大有村,李廣瑾
無,村里長,彰化縣埔鹽鄉大有村,陳輝隆
無,村里長,彰化縣埔鹽鄉新興村,康炳旺
無,村里長,彰化縣埔鹽鄉永平村,梁明龍
無,村里長,彰化縣埔鹽鄉永平村,施永玉
無,村里長,彰化縣埔鹽鄉永樂村,林瑞財
無,村里長,彰化縣埔鹽鄉石埤村,施讚興
無,村里長,彰化縣埔鹽鄉石埤村,施瑞重
無,村里長,彰化縣埔鹽鄉天盛村,黃啓源
無,村里長,彰化縣埔鹽鄉天盛村,施慶堯
無,村里長,彰化縣埔鹽鄉太平村,柯蕃翰
無,村里長,彰化縣埔鹽鄉太平村,童永冬
無,村里長,彰化縣埔鹽鄉新水村,施世清
無,村里長,彰化縣埔鹽鄉三省村,施義章
無,村里長,彰化縣埔鹽鄉三省村,張志鵬
無,村里長,彰化縣埔鹽鄉南新村,施正賀
無,村里長,彰化縣埔心鄉東門村,陳有在
無,村里長,彰化縣埔心鄉東門村,陳世郁
無,村里長,彰化縣埔心鄉埔心村,許杏雨
無,村里長,彰化縣埔心鄉埔心村,邱芳春
無,村里長,彰化縣埔心鄉埔心村,黃仕武
無,村里長,彰化縣埔心鄉義民村,徐劉惠蘇
無,村里長,彰化縣埔心鄉義民村,江易生
無,村里長,彰化縣埔心鄉油車村,黃平祥
無,村里長,彰化縣埔心鄉瓦北村,許明俊
無,村里長,彰化縣埔心鄉瓦北村,鄭玉盆
無,村里長,彰化縣埔心鄉瓦中村,李振維
無,村里長,彰化縣埔心鄉瓦中村,余堅
無,村里長,彰化縣埔心鄉瓦南村,張玉政
無,村里長,彰化縣埔心鄉瓦南村,張添寅
無,村里長,彰化縣埔心鄉瓦南村,賴政雄
無,村里長,彰化縣埔心鄉太平村,徐勝遠
無,村里長,彰化縣埔心鄉太平村,張得鄉
無,村里長,彰化縣埔心鄉經口村,張凉宗
無,村里長,彰化縣埔心鄉經口村,胡志明
無,村里長,彰化縣埔心鄉大華村,吳啟誠
無,村里長,彰化縣埔心鄉大華村,吳新沛
無,村里長,彰化縣埔心鄉大華村,吳炫煥
無,村里長,彰化縣埔心鄉仁里村,劉書誠
無,村里長,彰化縣埔心鄉仁里村,曾于碩
無,村里長,彰化縣埔心鄉仁里村,陳秀玲
無,村里長,彰化縣埔心鄉仁里村,蔡順發
無,村里長,彰化縣埔心鄉舊舘村,郭萬從
無,村里長,彰化縣埔心鄉舊舘村,蔡昇助
無,村里長,彰化縣埔心鄉南舘村,蔡宗献
無,村里長,彰化縣埔心鄉南舘村,邱環字
無,村里長,彰化縣埔心鄉新舘村,羅結
無,村里長,彰化縣埔心鄉羅厝村,邱肇德
無,村里長,彰化縣埔心鄉羅厝村,劉振翔
無,村里長,彰化縣埔心鄉羅厝村,黃益源
無,村里長,彰化縣埔心鄉羅厝村,陳文堂
無,村里長,彰化縣埔心鄉芎蕉村,許森林
無,村里長,彰化縣埔心鄉二重村,黃介修
無,村里長,彰化縣埔心鄉梧鳳村,黃旭四
無,村里長,彰化縣埔心鄉梧鳳村,黃採德
無,村里長,彰化縣埔心鄉梧鳳村,黃品豫
無,村里長,彰化縣埔心鄉梧鳳村,黃杉鈴
無,村里長,彰化縣埔心鄉埤霞村,林䧮良
無,村里長,彰化縣埔心鄉埤脚村,江雅琴
無,村里長,彰化縣埔心鄉埤脚村,黃輝要
無,村里長,彰化縣永靖鄉永東村,張銘達
無,村里長,彰化縣永靖鄉永西村,張光雄
無,村里長,彰化縣永靖鄉永西村,劉耀西
無,村里長,彰化縣永靖鄉永西村,張富凱
無,村里長,彰化縣永靖鄉永西村,胡耿銘
無,村里長,彰化縣永靖鄉永南村,周及
無,村里長,彰化縣永靖鄉永南村,劉嘉龍
無,村里長,彰化縣永靖鄉永北村,邱金章
無,村里長,彰化縣永靖鄉永北村,陳建名
無,村里長,彰化縣永靖鄉港西村,陳勝照
無,村里長,彰化縣永靖鄉港西村,陳天佑
無,村里長,彰化縣永靖鄉五福村,高芳熙
無,村里長,彰化縣永靖鄉湳港村,詹慶豊
無,村里長,彰化縣永靖鄉湳港村,呂金和
無,村里長,彰化縣永靖鄉湳港村,詹哲維
無,村里長,彰化縣永靖鄉新莊村,詹日新
無,村里長,彰化縣永靖鄉瑚璉村,江森雄
無,村里長,彰化縣永靖鄉瑚璉村,黃超威
無,村里長,彰化縣永靖鄉瑚璉村,李振申
無,村里長,彰化縣永靖鄉五汴村,袁百里
無,村里長,彰化縣永靖鄉五汴村,何民芳
無,村里長,彰化縣永靖鄉浮圳村,游世庭
無,村里長,彰化縣永靖鄉光雲村,詹德如
無,村里長,彰化縣永靖鄉光雲村,謝仲和
無,村里長,彰化縣永靖鄉東寧村,洪仁俊
無,村里長,彰化縣永靖鄉永興村,賴同崙
無,村里長,彰化縣永靖鄉崙子村,朱再添
無,村里長,彰化縣永靖鄉獨鰲村,黃銀城
無,村里長,彰化縣永靖鄉獨鰲村,江洽如
無,村里長,彰化縣永靖鄉敦厚村,魏明添
無,村里長,彰化縣永靖鄉崙美村,胡菘祐
無,村里長,彰化縣永靖鄉崙美村,胡順昌
無,村里長,彰化縣永靖鄉崙美村,胡壽端
無,村里長,彰化縣永靖鄉崙美村,胡文權
無,村里長,彰化縣永靖鄉同安村,陳坤立
無,村里長,彰化縣永靖鄉同安村,陳天能
無,村里長,彰化縣永靖鄉同仁村,蔡水班
無,村里長,彰化縣永靖鄉同仁村,張清標
無,村里長,彰化縣永靖鄉湳墘村,林輝
無,村里長,彰化縣永靖鄉湳墘村,凃文鎮
無,村里長,彰化縣永靖鄉四芳村,盧清連
無,村里長,彰化縣永靖鄉四芳村,詹輝岩
無,村里長,彰化縣永靖鄉福興村,江錦文
無,村里長,彰化縣永靖鄉竹子村,周文曲
無,村里長,彰化縣永靖鄉竹子村,邱良順
無,村里長,彰化縣社頭鄉社頭村,張育豪
無,村里長,彰化縣社頭鄉社頭村,張慶楨
無,村里長,彰化縣社頭鄉東興村,蕭國章
無,村里長,彰化縣社頭鄉東興村,蕭武雄
無,村里長,彰化縣社頭鄉山湖村,劉秀蘭
無,村里長,彰化縣社頭鄉山湖村,陳麗美
無,村里長,彰化縣社頭鄉廣興村,邱淮
無,村里長,彰化縣社頭鄉廣興村,蕭東信
無,村里長,彰化縣社頭鄉廣福村,蕭建元
無,村里長,彰化縣社頭鄉廣福村,沈烱雄
無,村里長,彰化縣社頭鄉朝興村,蕭家鏞
無,村里長,彰化縣社頭鄉朝興村,翁煥鑫
無,村里長,彰化縣社頭鄉朝興村,翁明崧
無,村里長,彰化縣社頭鄉仁雅村,徐維種
無,村里長,彰化縣社頭鄉仁雅村,陳圓
無,村里長,彰化縣社頭鄉橋頭村,劉佳鑫
無,村里長,彰化縣社頭鄉橋頭村,詹隆裕
無,村里長,彰化縣社頭鄉橋頭村,劉政鑫
無,村里長,彰化縣社頭鄉橋頭村,劉三合
無,村里長,彰化縣社頭鄉仁和村,林寬福
無,村里長,彰化縣社頭鄉仁和村,蕭吉良
無,村里長,彰化縣社頭鄉崙雅村,蔡正雄
無,村里長,彰化縣社頭鄉湳底村,邱錫進
無,村里長,彰化縣社頭鄉湳底村,謝勝文
無,村里長,彰化縣社頭鄉泰安村,蕭益忠
無,村里長,彰化縣社頭鄉泰安村,蕭明勝
無,村里長,彰化縣社頭鄉泰安村,趙新發
無,村里長,彰化縣社頭鄉美雅村,蕭志鎰
無,村里長,彰化縣社頭鄉美雅村,蕭曉偉
無,村里長,彰化縣社頭鄉新厝村,劉培謙
無,村里長,彰化縣社頭鄉新厝村,張麗燕
無,村里長,彰化縣社頭鄉平和村,蕭成洽
無,村里長,彰化縣社頭鄉平和村,鍾源進
無,村里長,彰化縣社頭鄉里仁村,蕭錦時
無,村里長,彰化縣社頭鄉張厝村,蕭成金
無,村里長,彰化縣社頭鄉張厝村,張松柏
無,村里長,彰化縣社頭鄉龍井村,蕭富榮
無,村里長,彰化縣社頭鄉龍井村,蕭秋長
無,村里長,彰化縣社頭鄉舊社村,蕭洽濡
無,村里長,彰化縣社頭鄉舊社村,蕭耀卿
無,村里長,彰化縣社頭鄉舊社村,陳瑞良
無,村里長,彰化縣社頭鄉埤斗村,紀勝英
無,村里長,彰化縣社頭鄉埤斗村,楊慶松
無,村里長,彰化縣社頭鄉湳雅村,張傳亨
無,村里長,彰化縣社頭鄉松竹村,張秀優
無,村里長,彰化縣社頭鄉清水村,康正習
無,村里長,彰化縣社頭鄉協和村,劉聰波
無,村里長,彰化縣二水鄉合和村,董碧顏
無,村里長,彰化縣二水鄉合和村,謝蓮政
無,村里長,彰化縣二水鄉上豊村,李新富
無,村里長,彰化縣二水鄉過圳村,羅澄麃
無,村里長,彰化縣二水鄉過圳村,蕭清裕
無,村里長,彰化縣二水鄉五伯村,陳國燦
無,村里長,彰化縣二水鄉五伯村,陳大森
無,村里長,彰化縣二水鄉五伯村,陳志傑
無,村里長,彰化縣二水鄉光化村,孔炳煌
無,村里長,彰化縣二水鄉光化村,蔡岳達
無,村里長,彰化縣二水鄉文化村,陳建宏
無,村里長,彰化縣二水鄉文化村,林友隆
無,村里長,彰化縣二水鄉文化村,陳陽
無,村里長,彰化縣二水鄉二水村,楊景林
無,村里長,彰化縣二水鄉二水村,王美內
無,村里長,彰化縣二水鄉聖化村,陳吉賢
無,村里長,彰化縣二水鄉聖化村,鄭鴻志
無,村里長,彰化縣二水鄉裕民村,許美月
無,村里長,彰化縣二水鄉裕民村,陳美雲
無,村里長,彰化縣二水鄉惠民村,黃國松
無,村里長,彰化縣二水鄉惠民村,莊秀英
無,村里長,彰化縣二水鄉惠民村,王明正
無,村里長,彰化縣二水鄉大園村,陳建仁
無,村里長,彰化縣二水鄉修仁村,陳敏誌
無,村里長,彰化縣二水鄉修仁村,許元益
無,村里長,彰化縣二水鄉合興村,張窓明
無,村里長,彰化縣二水鄉源泉村,張鈞雲
無,村里長,彰化縣二水鄉倡和村,鄭東漢
無,村里長,彰化縣二水鄉倡和村,鄭慶松
無,村里長,彰化縣二水鄉復興村,張叁寶
無,村里長,彰化縣二水鄉復興村,謝昊渝
無,村里長,彰化縣二水鄉十五村,張富榮
無,村里長,彰化縣二水鄉十五村,陳岳宏
無,村里長,彰化縣二水鄉十五村,張敏華
無,村里長,彰化縣北斗鎮光復里,許俊士
無,村里長,彰化縣北斗鎮新政里,傅銘霖
無,村里長,彰化縣北斗鎮新政里,卓裕國
無,村里長,彰化縣北斗鎮重慶里,陳肇基
無,村里長,彰化縣北斗鎮五權里,謝正良
無,村里長,彰化縣北斗鎮居仁里,林正隆
無,村里長,彰化縣北斗鎮居仁里,陳東榮
無,村里長,彰化縣北斗鎮東光里,蘇明玉
無,村里長,彰化縣北斗鎮東光里,呂學銘
無,村里長,彰化縣北斗鎮文昌里,田秋水
無,村里長,彰化縣北斗鎮中和里,許國男
無,村里長,彰化縣北斗鎮中和里,李宏裕
無,村里長,彰化縣北斗鎮西德里,黃志忠
無,村里長,彰化縣北斗鎮西安里,林義平
無,村里長,彰化縣北斗鎮中寮里,陳傳富
無,村里長,彰化縣北斗鎮中寮里,顏國平
無,村里長,彰化縣北斗鎮中寮里,顏吳美華
無,村里長,彰化縣北斗鎮大道里,許明圖
無,村里長,彰化縣北斗鎮新生里,吳金郎
無,村里長,彰化縣北斗鎮新生里,林森
無,村里長,彰化縣北斗鎮大新里,陳孟麒
無,村里長,彰化縣北斗鎮大新里,陳妤靜
無,村里長,彰化縣二林鎮東和里,洪桂昌
無,村里長,彰化縣二林鎮東和里,林詣珮
無,村里長,彰化縣二林鎮南光里,洪淑女
無,村里長,彰化縣二林鎮西平里,蘇國雄
無,村里長,彰化縣二林鎮北平里,陳凱偉
無,村里長,彰化縣二林鎮中西里,洪正男
無,村里長,彰化縣二林鎮中西里,洪秋邦
無,村里長,彰化縣二林鎮廣興里,詹金水
無,村里長,彰化縣二林鎮廣興里,蔡明宗
無,村里長,彰化縣二林鎮香田里,陳麗梅
無,村里長,彰化縣二林鎮外竹里,顏信鴻
無,村里長,彰化縣二林鎮外竹里,詹勝榮
無,村里長,彰化縣二林鎮外竹里,陳玉龍
無,村里長,彰化縣二林鎮興華里,洪義當
無,村里長,彰化縣二林鎮興華里,洪建民
無,村里長,彰化縣二林鎮東興里,曾廷銘
無,村里長,彰化縣二林鎮東興里,池世良
無,村里長,彰化縣二林鎮東興里,詹莉菘
無,村里長,彰化縣二林鎮東興里,洪火輪
無,村里長,彰化縣二林鎮後厝里,洪木村
無,村里長,彰化縣二林鎮後厝里,陳美智
無,村里長,彰化縣二林鎮後厝里,洪崇舜
無,村里長,彰化縣二林鎮豐田里,陳宗輝
無,村里長,彰化縣二林鎮頂厝里,洪明宏
無,村里長,彰化縣二林鎮趙甲里,楊閔吉
無,村里長,彰化縣二林鎮趙甲里,曾免
無,村里長,彰化縣二林鎮振興里,洪仲輝
無,村里長,彰化縣二林鎮振興里,邱進興
無,村里長,彰化縣二林鎮萬興里,謝來旺
無,村里長,彰化縣二林鎮萬興里,謝萬全
無,村里長,彰化縣二林鎮萬興里,李坤輝
無,村里長,彰化縣二林鎮永興里,陳文華
無,村里長,彰化縣二林鎮永興里,蔡玉麗
無,村里長,彰化縣二林鎮永興里,陳釧榮
無,村里長,彰化縣二林鎮永興里,陳加勝
無,村里長,彰化縣二林鎮西庄里,洪漢中
無,村里長,彰化縣二林鎮梅芳里,吳朝樫
無,村里長,彰化縣二林鎮梅芳里,吳錦龍
無,村里長,彰化縣二林鎮華崙里,張俊卿
無,村里長,彰化縣二林鎮東勢里,葉見智
無,村里長,彰化縣二林鎮東勢里,傅精用
無,村里長,彰化縣二林鎮萬合里,陳俊男
無,村里長,彰化縣二林鎮萬合里,林淑卿
無,村里長,彰化縣二林鎮大永里,莊德雄
無,村里長,彰化縣二林鎮原斗里,洪德勝
無,村里長,彰化縣二林鎮原斗里,莊坤錫
無,村里長,彰化縣二林鎮西斗里,蔡淑芬
無,村里長,彰化縣二林鎮東華里,陳裕隆
